Company Name,Industry,Symbol,Series,ISIN Code,Percentage Change,Market Cap
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,-1.6268647005790449,3060318.8574375
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033,-3.4904014426346386,882083.484366
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,-4.272669876951252,2108737.471195
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010,-3.80047157271185,374706.7160035
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012,-3.0316886119142183,352524.295081
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,-2.30098768414031,11686059.62589
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,-4.638650954479429,2556925.29528
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,-0.1029006964450851,2175884.703839
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,-0.8766634930051587,7148739.130870501
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,-2.998975209106325,802585.3323625
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,-2.0958105717362896,967125.707463
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020,-1.5030419007209694,611636.218864
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001018,-2.1166296754048908,740524.32
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054,-1.869158878504673,553597.037955
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,-1.381244432072981,6718415.750793001
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,-8.028019609736726,885919.1542280001
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,-2.626030805051893,1987643.18841
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,0.9552208086294643,1539976.8599039998
